Item,Status,Date,Coordinator
Team registrations,Closed,"January 15, 2025 23:59 (GMT+5)",UFA
Group draw for tournament,Closed,"January 17, 2025 20:30 (GMT+5)",Mode
Tournament day,Closed,"January 24, 2025",
Team huddles,Closed,"January 24, 2025 19:15 (GMT+5)",Captains
Opening circle and team photos,Closed,"January 24, 2025 19:30 (GMT+5)","Urey, Sola, Zajil"
First pull,Closed,"January 24, 2025 19:30 (GMT+5)",
Semi-finals,Closed,"January 24, 2025 21:15 (GMT+5)",
Final,Closed,"January 24, 2025 22:00 (GMT+5)",
Closing ceremony,Closed,"January 24, 2025 22:40 (GMT+5)","Urey, Sola"
